"YrMonth","Price","Month"
"201108",5850000,1
"201109",6255310.05714286,2
"201110",5667466.1027027,3
"201111",6140269.11627907,4
"201112",5812806.35714286,5
"201201",6967014.8963964,6
"201202",6815771.13851351,7
"201203",6789860.01910828,8
"201204",6720821.31889764,9
"201205",7393948.92857143,10
"201206",7180537.76666667,11
"201207",6342624.35240964,12
"201208",6165646.02564103,13
"201209",6449854,14
"201210",5837659.08851675,15
"201211",5642412.1589404,16
"201212",5529669.43723849,17
"201301",6213297.29257642,18
"201302",6190382.12107623,19
"201303",6560774.5390625,20
"201304",6452142.60227273,21
"201305",6102472.93541203,22
"201306",6692732.24887892,23
"201307",6780649.94071763,24
"201308",6696938.99249531,25
"201309",6922997.57438795,26
"201310",6766038.31794195,27
"201311",6928066.81624501,28
"201312",7088935.07741935,29
"201401",7100582.23140496,30
"201402",7168001.3014553,31
"201403",7318832.70519099,32
"201404",7578128.91934006,33
"201405",7662245.61489362,34
"201406",7144206.23943662,35
"201407",7299788.15939597,36
"201408",7702096.24017467,37
"201409",7928370.13621622,38
"201410",7299666.62763713,39
"201411",7372430.79287091,40
"201412",7771077.90523338,41
"201501",8407421.0867052,42
"201502",8040201.61707317,43
"201503",8501841.84716981,44
"201504",8057189.24251969,45
"201505",8210895.88864629,46
"201506",8091600.95252226,47
