Month,YrMonth,Mean Price,lower CI,upper CI
47,201506,8135971.47,7369838.85,8902104.09
48,201507,8239627.85,7472088.15,9007167.54
49,201508,8219842.5,7315233.56,9124451.45
50,201509,8280805.52,7291704.32,9269906.73
51,201510,8285180.15,7269438.68,9300921.62
52,201511,8337262.95,7274390.55,9400135.36
53,201512,8368488.36,7265534.47,9471442.26
54,201601,8415210.13,7272427.47,9557992.79
55,201602,8451912.3,7280592.66,9623231.94
56,201603,8496189.86,7297927.59,9694452.13
57,201604,8537812.28,7315364.85,9760259.71
58,201605,8582886.57,7336666.42,9829106.71
59,201606,8626793.28,7358812.62,9894773.95
